Carimbo de data/hora,Coordenadas da Bounding Box,Nome do Bairro,min_longitude,min_latitude,max_longitude,max_latitude
22/06/2026 00:00:00,-46.685000	-23.590000	-46.665000	-23.575000,Itaim_Bibi,-46.685,-23.59,-46.665,-23.575
22/06/2026 00:00:00,-46.669884	-23.580502	-46.633996	-23.552062,Av_Paulista,-46.669884,-23.580502,-46.633996,-23.552062
22/06/2026 00:00:00,-46.690000	-23.598000	-46.670000	-23.585000,Vila_Olimpia,-46.69,-23.598,-46.67,-23.585
22/06/2026 00:00:00,-46.704205	-23.574847	-46.674487	-23.558183,Pinheiros,-46.704205,-23.574847,-46.674487,-23.558183
22/06/2026 00:00:00,-46.699949	-23.620544	-46.682294	-23.596478,Brooklin,-46.699949,-23.620544,-46.682294,-23.596478
22/06/2026 00:00:00,-46.860248	-23.505565	-46.840035	-23.490924,Alphaville_Industrial,-46.860248,-23.505565,-46.840035,-23.490924
22/06/2026 00:00:00,-46.681131339	-23.5980107441	-46.6639652013	-23.585366627,Vila_nova_Conceicao,-46.681131339,-23.5980107441,-46.6639652013,-23.585366627
22/06/2026 00:00:00,-46.692633	-23.596674	-46.680058	-23.581694,Inter_Zonas,-46.692633,-23.596674,-46.680058,-23.581694
21/06/2026 23:36:19,-46.653000  -23.595778  -46.652000  -23.594778,Vila Clementino,-46.653,-23.595778,-46.652,-23.594778
21/06/2026 23:36:30,-46.649667  -23.593278  -46.648667  -23.592278,Vila Clementino,-46.649667,-23.593278,-46.648667,-23.592278
21/06/2026 23:36:52,-46.646889  -23.593833  -46.645889  -23.592833,Vila Clementino,-46.646889,-23.593833,-46.645889,-23.592833
21/06/2026 23:38:15,-46.661333  -23.601333  -46.660333  -23.600333,Moema,-46.661333,-23.601333,-46.660333,-23.600333
21/06/2026 23:38:33,-46.661056  -23.602722  -46.660056  -23.601722,Moema,-46.661056,-23.602722,-46.660056,-23.601722
22/06/2026 00:06:33,-46.778556  -23.482167  -46.777556  -23.481167,OSASCO,-46.778556,-23.482167,-46.777556,-23.481167
22/06/2026 00:07:02,-46.781333  -23.478833  -46.780333  -23.477833,OSASCO,-46.781333,-23.478833,-46.780333,-23.477833
22/06/2026 00:07:14,-46.778556  -23.477167  -46.777556  -23.476167,OSASCO,-46.778556,-23.477167,-46.777556,-23.476167
22/06/2026 00:15:37,-46.631056  -23.485222  -46.630056  -23.484222,Santana,-46.631056,-23.485222,-46.630056,-23.484222
22/06/2026 00:16:39,-46.639944  -23.473278  -46.638944  -23.472278,Santana,-46.639944,-23.473278,-46.638944,-23.472278
22/06/2026 00:16:58,-46.619667  -23.470778  -46.618667  -23.469778,Santana,-46.619667,-23.470778,-46.618667,-23.469778
22/06/2026 00:17:14,-46.610778  -23.478833  -46.609778  -23.477833,Santana,-46.610778,-23.478833,-46.609778,-23.477833
22/06/2026 00:18:08,-46.582444  -23.465778  -46.581444  -23.464778,Santana,-46.582444,-23.465778,-46.581444,-23.464778
22/06/2026 00:18:33,-46.585778  -23.431056  -46.584778  -23.430056,Santana,-46.585778,-23.431056,-46.584778,-23.430056
22/06/2026 00:18:44,-46.581056  -23.415222  -46.580056  -23.414222,Santana,-46.581056,-23.415222,-46.580056,-23.414222
22/06/2026 00:19:29,-46.763556  -23.521056  -46.762556  -23.520056,OSASCO,-46.763556,-23.521056,-46.762556,-23.520056
22/06/2026 00:20:11,-46.772444  -23.549667  -46.771444  -23.548667,OSASCO,-46.772444,-23.549667,-46.771444,-23.548667
22/06/2026 00:21:05,-46.782444  -23.534389  -46.781444  -23.533389,OSASCO,-46.782444,-23.534389,-46.781444,-23.533389
22/06/2026 00:21:39,-46.744667  -23.529667  -46.743667  -23.528667,Vila Leopoldina,-46.744667,-23.529667,-46.743667,-23.528667
22/06/2026 00:21:55,-46.744389  -23.526333  -46.743389  -23.525333,Vila Leopoldina,-46.744389,-23.526333,-46.743389,-23.525333
22/06/2026 00:23:59,-46.737167  -23.547167  -46.736167  -23.546167,Jaguaré,-46.737167,-23.547167,-46.736167,-23.546167
22/06/2026 00:24:28,-46.733833  -23.573833  -46.732833  -23.572833,Jaguaré,-46.733833,-23.573833,-46.732833,-23.572833
22/06/2026 00:25:18,-46.703556  -23.591056  -46.702556  -23.590056,Morumbi,-46.703556,-23.591056,-46.702556,-23.590056
22/06/2026 00:25:35,-46.711056  -23.595778  -46.710056  -23.594778,Morumbi,-46.711056,-23.595778,-46.710056,-23.594778
22/06/2026 00:25:55,-46.707444  -23.598278  -46.706444  -23.597278,Morumbi,-46.707444,-23.598278,-46.706444,-23.597278
22/06/2026 00:26:25,-46.713556  -23.601056  -46.712556  -23.600056,Morumbi,-46.713556,-23.601056,-46.712556,-23.600056
22/06/2026 00:26:36,-46.715778  -23.600778  -46.714778  -23.599778,Morumbi,-46.715778,-23.600778,-46.714778,-23.599778
22/06/2026 00:31:05,-46.703556  -23.618833  -46.702556  -23.617833,Vila Andrade,-46.703556,-23.618833,-46.702556,-23.617833
22/06/2026 00:32:56,-46.702167  -23.617167  -46.701167  -23.616167,Vila Andrade,-46.702167,-23.617167,-46.701167,-23.616167
22/06/2026 00:33:06,-46.699111  -23.620500  -46.698111  -23.619500,Vila Andrade,-46.699111,-23.6205,-46.698111,-23.6195
22/06/2026 00:33:20,-46.699389  -23.617444  -46.698389  -23.616444,Vila Andrade,-46.699389,-23.617444,-46.698389,-23.616444
22/06/2026 00:33:32,-46.698556  -23.615222  -46.697556  -23.614222,Vila Andrade,-46.698556,-23.615222,-46.697556,-23.614222
22/06/2026 00:33:59,-46.697167  -23.614944  -46.696167  -23.613944,Vila Andrade,-46.697167,-23.614944,-46.696167,-23.613944
22/06/2026 00:38:18,-46.580778  -23.617167  -46.579778  -23.616167,SÃO CAETANO DO SUL,-46.580778,-23.617167,-46.579778,-23.616167
22/06/2026 00:38:41,-46.571056  -23.611333  -46.570056  -23.610333,SÃO CAETANO DO SUL,-46.571056,-23.611333,-46.570056,-23.610333
22/06/2026 00:38:52,-46.569667  -23.614944  -46.568667  -23.613944,SÃO CAETANO DO SUL,-46.569667,-23.614944,-46.568667,-23.613944
22/06/2026 00:39:09,-46.547167  -23.615778  -46.546167  -23.614778,SÃO CAETANO DO SUL,-46.547167,-23.615778,-46.546167,-23.614778
22/06/2026 00:39:41,-46.528556  -23.656056  -46.527556  -23.655056,Santo André,-46.528556,-23.656056,-46.527556,-23.655056
22/06/2026 00:43:45,-46.504944  -23.567722  -46.503944  -23.566722,Cidade Líder,-46.504944,-23.567722,-46.503944,-23.566722
22/06/2026 00:44:12,-46.461889  -23.554667  -46.460889  -23.553667,Cidade Líder,-46.461889,-23.554667,-46.460889,-23.553667
22/06/2026 00:44:38,-46.478278  -23.544667  -46.477278  -23.543667,Cidade Líder,-46.478278,-23.544667,-46.477278,-23.543667
22/06/2026 04:35:00,"22°58'56""S 43°23'38""W",Barra Olímpica,-43.39388888888889,-22.98222222222222,-43.39388888888889,-22.98222222222222
22/06/2026 04:35:05,"22°55'57""S 43°22'27""W",Taquara,-43.37416666666667,-22.9325,-43.37416666666667,-22.9325
22/06/2026 04:35:09,"22°58'50""S 43°13'54""W",Gávea,-43.23166666666667,-22.980555555555554,-43.23166666666667,-22.980555555555554
22/06/2026 04:35:32,"19°57'47""S 43°57'20""W",São Bento,-43.955555555555556,-19.963055555555556,-43.955555555555556,-19.963055555555556
22/06/2026 04:35:37,"19°51'6""S 43°57'2""W",Jaraguá,-43.95055555555556,-19.851666666666667,-43.95055555555556,-19.851666666666667
22/06/2026 04:35:43,"19°54'33""S 43°59'21""W",Padre Eustáquio,-43.98916666666667,-19.909166666666664,-43.98916666666667,-19.909166666666664
22/06/2026 04:35:47,"19°55'40""S 43°56'58""W",Santo Agostinho,-43.94944444444444,-19.92777777777778,-43.94944444444444,-19.92777777777778
22/06/2026 04:35:51,"19°55'44""S 43°57'2""W",Santo Agostinho,-43.95055555555556,-19.92888888888889,-43.95055555555556,-19.92888888888889
22/06/2026 04:35:55,"19°54'51""S 43°56'16""W",Centro,-43.937777777777775,-19.914166666666667,-43.937777777777775,-19.914166666666667
22/06/2026 04:35:59,"19°56'7""S 43°55'27""W",Serra,-43.924166666666665,-19.935277777777777,-43.924166666666665,-19.935277777777777
22/06/2026 04:36:19,"29°24'36""S 49°48'37""W",Torres,-49.81027777777778,-29.41,-49.81027777777778,-29.41
22/06/2026 04:36:26,"27°39'47""S 52°16'18""W",Aeroporto,-52.27166666666667,-27.663055555555555,-52.27166666666667,-27.663055555555555
22/06/2026 04:36:45,"25°26'17""S 49°14'26""W",Jardim Botânico,-49.24055555555556,-25.438055555555557,-49.24055555555556,-25.438055555555557
22/06/2026 04:36:50,"25°25'57""S 49°19'33""W",Mossunguê,-49.325833333333335,-25.4325,-49.325833333333335,-25.4325
22/06/2026 04:36:54,"25°26'20""S 49°16'4""W",Rebouças,-49.26777777777777,-25.43888888888889,-49.26777777777777,-25.43888888888889
22/06/2026 04:37:00,"25°26'11""S 49°14'41""W",Cristo Rei,-49.24472222222222,-25.43638888888889,-49.24472222222222,-25.43638888888889
22/06/2026 04:37:05,"25°22'33""S 49°13'40""W",Santa Cândida,-49.22777777777778,-25.375833333333333,-49.22777777777778,-25.375833333333333
22/06/2026 04:37:10,"25°31'54""S 49°10'33""W",Área Industrial Aeroportuária,-49.17583333333333,-25.531666666666666,-49.17583333333333,-25.531666666666666
22/06/2026 04:37:29,"12°56'38""S 38°25'32""W",Centro Administrativo da Bahia,-38.425555555555555,-12.943888888888889,-38.425555555555555,-12.943888888888889
22/06/2026 04:37:33,"12°47'44""S 38°38'36""W",Ilha dos Frades / Ilha de Santo Antônio,-38.64333333333333,-12.795555555555556,-38.64333333333333,-12.795555555555556
22/06/2026 04:37:38,"12°58'46""S 38°27'41""W",Caminho das Árvores,-38.46138888888889,-12.979444444444445,-38.46138888888889,-12.979444444444445
22/06/2026 04:37:43,"13°0'33""S 38°31'13""W",Barra,-38.52027777777778,-13.009166666666667,-38.52027777777778,-13.009166666666667
22/06/2026 04:37:48,"12°59'21""S 38°26'53""W",STIEP,-38.448055555555555,-12.989166666666666,-38.448055555555555,-12.989166666666666
22/06/2026 04:38:05,"3°44'6""S 38°30'11""W",Aldeota,-38.503055555555555,-3.735,-38.503055555555555,-3.735
22/06/2026 04:38:10,"3°44'29""S 38°29'14""W",Cocó,-38.48722222222222,-3.741388888888889,-38.48722222222222,-3.741388888888889
22/06/2026 04:38:14,"3°49'31""S 38°28'17""W",Lagoa Redonda,-38.47138888888889,-3.8252777777777776,-38.47138888888889,-3.8252777777777776
22/06/2026 04:38:19,"3°46'32""S 38°31'55""W",Aeroporto,-38.53194444444444,-3.7755555555555556,-38.53194444444444,-3.7755555555555556
22/06/2026 04:38:23,"3°43'59""S 38°30'33""W",Aldeota,-38.509166666666665,-3.7330555555555556,-38.509166666666665,-3.7330555555555556
22/06/2026 04:38:28,"3°44'26""S 38°30'33""W",Aldeota,-38.509166666666665,-3.7405555555555554,-38.509166666666665,-3.7405555555555554
22/06/2026 04:38:33,"3°45'59""S 38°29'9""W",Guararapes,-38.48583333333333,-3.766388888888889,-38.48583333333333,-3.766388888888889
22/06/2026 04:38:38,"3°49'15""S 38°32'2""W",Passaré,-38.53388888888889,-3.8208333333333333,-38.53388888888889,-3.8208333333333333
22/06/2026 04:38:55,"16°39'18""S 49°14'56""W",Osvaldo Rosa,-49.24888888888889,-16.654999999999998,-49.24888888888889,-16.654999999999998
22/06/2026 04:39:01,"16°38'52""S 49°12'32""W",Residencial Carlos de Freitas,-49.20888888888889,-16.647777777777776,-49.20888888888889,-16.647777777777776
22/06/2026 04:39:05,"16°41'48""S 49°16'10""W",Setor Marista,-49.269444444444446,-16.696666666666665,-49.269444444444446,-16.696666666666665
22/06/2026 04:39:10,"16°41'49""S 49°15'20""W",Setor Sul,-49.25555555555555,-16.696944444444444,-49.25555555555555,-16.696944444444444
22/06/2026 04:39:14,"16°42'17""S 49°14'26""W",Jardim Goiás,-49.24055555555556,-16.704722222222223,-49.24055555555556,-16.704722222222223
22/06/2026 04:39:19,"16°37'51""S 49°12'2""W",Sítio de Recreio Ipê,-49.20055555555556,-16.630833333333335,-49.20055555555556,-16.630833333333335
22/06/2026 04:39:25,"16°40'54""S 49°15'20""W",Setor Central,-49.25555555555555,-16.68166666666667,-49.25555555555555,-16.68166666666667
22/06/2026 04:39:44,"26°52'42""S 48°39'2""W",Centro,-48.650555555555556,-26.878333333333334,-48.650555555555556,-26.878333333333334
22/06/2026 04:39:50,"26°47'17""S 50°56'23""W",Aeroporto,-50.939722222222215,-26.78805555555556,-50.939722222222215,-26.78805555555556
22/06/2026 04:39:55,"27°17'13""S 50°36'14""W",Curitibanos,-50.60388888888889,-27.286944444444448,-50.60388888888889,-27.286944444444448
22/06/2026 04:39:59,"27°27'20""S 48°27'41""W",Canasvieiras,-48.46138888888889,-27.455555555555556,-48.46138888888889,-27.455555555555556
22/06/2026 04:40:05,"28°40'31""S 49°3'37""W",Jaguaruna,-49.06027777777778,-28.67527777777778,-49.06027777777778,-28.67527777777778
22/06/2026 04:40:09,"27°46'55""S 50°16'54""W",Guarujá,-50.281666666666666,-27.781944444444445,-50.281666666666666,-27.781944444444445
22/06/2026 04:40:25,"8°3'43""S 34°57'50""W",UR-07,-34.96388888888889,-8.061944444444444,-34.96388888888889,-8.061944444444444
22/06/2026 04:40:31,"8°6'3""S 34°53'3""W",Boa Viagem,-34.884166666666665,-8.100833333333332,-34.884166666666665,-8.100833333333332
22/06/2026 04:40:35,"8°5'11""S 34°54'7""W",Pina,-34.901944444444446,-8.086388888888889,-34.901944444444446,-8.086388888888889
22/06/2026 04:40:43,"8°50'3""S 36°28'17""W",São Pedro,-36.47138888888889,-8.834166666666667,-36.47138888888889,-8.834166666666667
22/06/2026 04:40:49,"8°24'28""S 37°5'17""W",Santos Dumont,-37.088055555555556,-8.407777777777778,-37.088055555555556,-8.407777777777778
22/06/2026 04:41:08,"15°47'44""S 47°53'36""W",Setor Comercial Sul,-47.89333333333333,-15.795555555555556,-47.89333333333333,-15.795555555555556
22/06/2026 04:41:12,"15°47'26""S 47°52'45""W",Brasília,-47.87916666666667,-15.790555555555555,-47.87916666666667,-15.790555555555555
22/06/2026 04:41:17,"15°51'15""S 47°48'33""W",Reserva Jardim Botânico,-47.80916666666666,-15.854166666666666,-47.80916666666666,-15.854166666666666
22/06/2026 04:41:22,"15°46'23""S 47°42'10""W",Paranoá,-47.70277777777778,-15.773055555555556,-47.70277777777778,-15.773055555555556
22/06/2026 04:41:26,"15°49'50""S 47°52'0""W",Lago Sul,-47.86666666666667,-15.830555555555556,-47.86666666666667,-15.830555555555556
22/06/2026 04:41:32,"15°49'45""S 48°1'44""W",Águas Claras,-48.028888888888886,-15.829166666666666,-48.028888888888886,-15.829166666666666
22/06/2026 04:41:37,"15°50'7""S 47°54'35""W",Asa Sul,-47.90972222222222,-15.835277777777778,-47.90972222222222,-15.835277777777778
22/06/2026 04:41:54,"2°59'53""S 60°1'48""W",Colonia Terra Nova,-60.03,-2.9980555555555557,-60.03,-2.9980555555555557
22/06/2026 04:41:59,"5°48'39""S 61°16'41""W",Manicoré,-61.278055555555554,-5.810833333333333,-61.278055555555554,-5.810833333333333
22/06/2026 04:42:07,"3°6'57""S 60°1'9""W",Nossa Senhora das Graças,-60.01916666666666,-3.1158333333333332,-60.01916666666666,-3.1158333333333332
22/06/2026 04:42:13,"7°10'19""S 59°50'20""W",Apuí,-59.83888888888889,-7.171944444444445,-59.83888888888889,-7.171944444444445
22/06/2026 04:42:32,"1°16'1""S 48°25'47""W",Outeiro,-48.42972222222222,-1.2669444444444444,-48.42972222222222,-1.2669444444444444
22/06/2026 04:42:36,"3°46'36""S 49°43'10""W",Tucuruí,-49.71944444444445,-3.7766666666666664,-49.71944444444445,-3.7766666666666664
22/06/2026 04:42:41,"1°24'54""S 48°27'32""W",Souza,-48.45888888888889,-1.4149999999999998,-48.45888888888889,-1.4149999999999998
22/06/2026 04:42:46,"6°38'29""S 51°57'7""W",São Félix do Xingu,-51.95194444444445,-6.641388888888889,-51.95194444444445,-6.641388888888889
22/06/2026 04:42:50,"6°14'7""S 57°46'32""W",Jacareacanga,-57.775555555555556,-6.235277777777778,-57.775555555555556,-6.235277777777778
22/06/2026 04:42:56,"3°1'10""S 47°18'59""W",Paragominas,-47.31638888888889,-3.0194444444444444,-47.31638888888889,-3.0194444444444444
22/06/2026 04:43:00,"1°26'22""S 48°28'54""W",Umarizal,-48.48166666666667,-1.4394444444444445,-48.48166666666667,-1.4394444444444445
22/06/2026 04:43:19,"19°27'51""S 40°40'1""W",Colatina,-40.66694444444444,-19.464166666666667,-40.66694444444444,-19.464166666666667
22/06/2026 04:43:25,"19°49'35""S 40°6'2""W",Barra do Riacho,-40.10055555555556,-19.82638888888889,-40.10055555555556,-19.82638888888889
22/06/2026 04:43:30,"20°15'29""S 40°17'11""W",Aeroporto,-40.28638888888889,-20.258055555555554,-40.28638888888889,-20.258055555555554
22/06/2026 04:43:36,"19°56'14""S 40°24'39""W",Cocal,-40.41083333333333,-19.93722222222222,-40.41083333333333,-19.93722222222222
22/06/2026 04:43:41,"20°13'50""S 40°16'36""W",Carapina Grande,-40.276666666666664,-20.230555555555554,-40.276666666666664,-20.230555555555554
22/06/2026 04:44:00,"13°49'15""S 56°2'18""W",Nova Mutum,-56.038333333333334,-13.820833333333333,-56.038333333333334,-13.820833333333333
22/06/2026 04:44:06,"14°41'52""S 52°20'49""W",Nova Xavantina,-52.346944444444446,-14.697777777777778,-52.346944444444446,-14.697777777777778
22/06/2026 04:44:11,"14°39'42""S 57°26'38""W",Jardim Aeroporto,-57.443888888888885,-14.661666666666667,-57.443888888888885,-14.661666666666667
22/06/2026 04:44:19,"15°33'15""S 55°41'30""W",Cuiabá,-55.69166666666666,-15.554166666666667,-55.69166666666666,-15.554166666666667
22/06/2026 04:44:24,"15°39'0""S 56°7'2""W",Centro Sul,-56.117222222222225,-15.65,-56.117222222222225,-15.65
22/06/2026 04:44:45,"20°45'42""S 54°26'52""W",Campo Grande,-54.44777777777777,-20.761666666666667,-54.44777777777777,-20.761666666666667
22/06/2026 04:44:51,"20°34'17""S 54°42'55""W",Recreio Itaim,-54.71527777777778,-20.57138888888889,-54.71527777777778,-20.57138888888889
22/06/2026 04:44:58,"20°29'9""S 54°28'59""W",Terras do Golfe,-54.48305555555556,-20.485833333333336,-54.48305555555556,-20.485833333333336
